feature_a,label_a,feature_b,label_b,correlation,abs_correlation
rate_const_105,H3+ > H^ + H + H,rate_const_198,O-3s 3S0,0.9233838415848884,0.9233838415848884
rate_const_013,AR3S > AR^,rate_const_116,OH-A3SIGMA,0.9233608012351114,0.9233608012351114
rate_const_105,H3+ > H^ + H + H,rate_const_142,E + H2O > H + OH(A) + E,0.9232878862812008,0.9232878862812008
rate_const_013,AR3S > AR^,rate_const_089,H2 > H + H,0.9230249627276031,0.9230249627276031
rate_const_087,H2 > H2(b 3 SIGMA),rate_const_105,H3+ > H^ + H + H,0.9225152123614976,0.9225152123614976
rate_const_108,OH-A1PI,rate_const_105,H3+ > H^ + H + H,0.9224711905245705,0.9224711905245705
rate_const_105,H3+ > H^ + H + H,rate_const_161,E + H2OV > H + OH(A) + E,0.9221444139478278,0.9221444139478278
rate_const_198,O-3s 3S0,rate_const_157,E + H2OV > OH^ + H + E,0.9218763817395565,0.9218763817395565
rate_const_116,OH-A3SIGMA,rate_const_105,H3+ > H^ + H + H,0.9218707386752164,0.9218707386752164
rate_const_142,E + H2O > H + OH(A) + E,rate_const_157,E + H2OV > OH^ + H + E,0.9218014120595905,0.9218014120595905
rate_const_089,H2 > H + H,rate_const_105,H3+ > H^ + H + H,0.9215240456087807,0.9215240456087807
rate_const_090,H2 > H2+,rate_const_135,E + H2O > OH + H + E,0.9211314367583334,0.9211314367583334
rate_const_135,E + H2O > OH + H + E,rate_const_012,AR3S > AR-RYD,0.9211017181800472,0.9211017181800472
rate_const_108,OH-A1PI,rate_const_157,E + H2OV > OH^ + H + E,0.9210339472617963,0.9210339472617963
rate_const_087,H2 > H2(b 3 SIGMA),rate_const_157,E + H2OV > OH^ + H + E,0.9210066598725227,0.9210066598725227
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_090,H2 > H2+,0.9208247674670442,0.9208247674670442
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_012,AR3S > AR-RYD,0.9207924502588902,0.9207924502588902
rate_const_161,E + H2OV > H + OH(A) + E,rate_const_157,E + H2OV > OH^ + H + E,0.9206226351479627,0.9206226351479627
rate_const_116,OH-A3SIGMA,rate_const_157,E + H2OV > OH^ + H + E,0.9203355477120253,0.9203355477120253
rate_const_013,AR3S > AR^,rate_const_135,E + H2O > OH + H + E,0.9202327594865973,0.9202327594865973
rate_const_089,H2 > H + H,rate_const_157,E + H2OV > OH^ + H + E,0.9199732183784513,0.9199732183784513
rate_const_013,AR3S > AR^,rate_const_185,O2-ELECTRONIC 8.4EV,0.9198382222648838,0.9198382222648838
rate_const_090,H2 > H2+,rate_const_154,E + H2OV > OH + H + E,0.9194692108103703,0.9194692108103703
rate_const_154,E + H2OV > OH + H + E,rate_const_012,AR3S > AR-RYD,0.9194367578484358,0.9194367578484358
rate_const_135,E + H2O > OH + H + E,rate_const_105,H3+ > H^ + H + H,0.9187338137936252,0.9187338137936252
rate_const_013,AR3S > AR^,rate_const_154,E + H2OV > OH + H + E,0.9185587195959614,0.9185587195959614
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_105,H3+ > H^ + H + H,0.918273830081823,0.918273830081823
rate_const_135,E + H2O > OH + H + E,rate_const_157,E + H2OV > OH^ + H + E,0.9172929296676738,0.9172929296676738
rate_const_154,E + H2OV > OH + H + E,rate_const_105,H3+ > H^ + H + H,0.9170469554744467,0.9170469554744467
rate_const_115,OH-A3PI,rate_const_077,H*  > H^,0.9167041561891879,0.9167041561891879
rate_const_184,O2-ELECTRONIC 6EV,rate_const_077,H*  > H^,0.916684685555876,0.916684685555876
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_157,E + H2OV > OH^ + H + E,0.9166407250402746,0.9166407250402746
rate_const_095,H2*  > H2^,rate_const_077,H*  > H^,0.9164265517792947,0.9164265517792947
rate_const_154,E + H2OV > OH + H + E,rate_const_077,H*  > H^,0.9161363859704578,0.9161363859704578
rate_const_095,H2*  > H2^,rate_const_090,H2 > H2+,0.9160985168433377,0.9160985168433377
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_077,H*  > H^,0.9160809070479113,0.9160809070479113
rate_const_095,H2*  > H2^,rate_const_012,AR3S > AR-RYD,0.9160601413873414,0.9160601413873414
rate_const_135,E + H2O > OH + H + E,rate_const_077,H*  > H^,0.915982731359602,0.915982731359602
rate_const_089,H2 > H + H,rate_const_077,H*  > H^,0.915735013046684,0.915735013046684
rate_const_116,OH-A3SIGMA,rate_const_077,H*  > H^,0.91567787796962,0.91567787796962
rate_const_161,E + H2OV > H + OH(A) + E,rate_const_077,H*  > H^,0.9156595355326197,0.9156595355326197
rate_const_087,H2 > H2(b 3 SIGMA),rate_const_077,H*  > H^,0.915606694304741,0.915606694304741
rate_const_108,OH-A1PI,rate_const_077,H*  > H^,0.9155887113670719,0.9155887113670719
rate_const_154,E + H2OV > OH + H + E,rate_const_157,E + H2OV > OH^ + H + E,0.9155805854536488,0.9155805854536488
